2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5600000843114116 | size=3.795453   | usd=2.125454  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5700000437724768 | size=3.883719   | usd=2.21372   
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5600000409302526 | size=3.909089   | usd=2.18909   
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5700001720001032 | size=2.32558    | usd=1.325581  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.58       | size=50.0       | usd=29.0      
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5600000450232617 | size=9.772726   | usd=5.472727  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.5600001936001084 | size=2.272726   | usd=1.272727  
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.57       | size=40.9       | usd=23.313    
2026-05-15T02:55:44+00:00 | sec=44  | BUY    | Down       | price=0.59       | size=50.0       | usd=29.5      
2026-05-15T02:55:46+00:00 | sec=46  | BUY    | Down       | price=0.56       | size=27.9       | usd=15.624    
2026-05-15T02:55:46+00:00 | sec=46  | BUY    | Down       | price=0.5600001936001084 | size=2.272726   | usd=1.272727  
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.35000002280702475 | size=8.769228   | usd=3.06923   
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.35       | size=10.0       | usd=3.5       
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.37       | size=25.4       | usd=9.398     
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.36       | size=30.0       | usd=10.8      
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.37       | size=7.0        | usd=2.59      
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.350000002849078 | size=17.549537  | usd=6.142338  
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.3600000029611126 | size=13.508436  | usd=4.863037  
2026-05-15T02:55:51+00:00 | sec=51  | BUY    | Up         | price=0.35       | size=5.0        | usd=1.75      
2026-05-15T02:55:53+00:00 | sec=53  | BUY    | Up         | price=0.36       | size=6.49       | usd=2.3364    
2026-05-15T02:55:53+00:00 | sec=53  | BUY    | Up         | price=0.35       | size=8.68       | usd=3.038     
2026-05-15T02:55:53+00:00 | sec=53  | BUY    | Up         | price=0.37       | size=17.6       | usd=6.512     
2026-05-15T02:55:55+00:00 | sec=55  | BUY    | Down       | price=0.6        | size=50.0       | usd=30.0      
2026-05-15T02:55:55+00:00 | sec=55  | BUY    | Down       | price=0.62       | size=50.0       | usd=31.0      
2026-05-15T02:55:55+00:00 | sec=55  | BUY    | Down       | price=0.61       | size=50.0       | usd=30.5      
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3300000804000707 | size=1.492536   | usd=0.492537  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.33       | size=9.26       | usd=3.0558    
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.34       | size=3.48       | usd=1.1832    
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.33       | size=5.0        | usd=1.65      
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3500000282608765 | size=5.307691   | usd=1.857692  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3500000812501253 | size=1.846151   | usd=0.646153  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.33       | size=3.0        | usd=0.99      
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3300000804000707 | size=1.492536   | usd=0.492537  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3500000096296309 | size=20.769228  | usd=7.26923   
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.35       | size=8.55       | usd=2.9925    
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.34       | size=44.88      | usd=15.2592   
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3300000206979129 | size=11.595372  | usd=3.826473  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.35       | size=13.52      | usd=4.732     
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.33000003301451025 | size=5.149251   | usd=1.699253  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.3300000804000707 | size=2.985072   | usd=0.985074  
2026-05-15T02:55:56+00:00 | sec=56  | BUY    | Up         | price=0.33       | size=10.0       | usd=3.3       
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.33       | size=5.0        | usd=1.65      
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.3300000804000707 | size=1.492536   | usd=0.492537  
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.32       | size=50.0       | usd=16.0      
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.33       | size=6.41       | usd=2.1153    
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.3300000287142982 | size=3.134327   | usd=1.034328  
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.3300000067000044 | size=4.477609   | usd=1.477611  
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.33       | size=29.0       | usd=9.57      
2026-05-15T02:55:58+00:00 | sec=58  | BUY    | Up         | price=0.33       | size=0.47       | usd=0.1551    

LAST MINUTE TRADES (240-299s)
----------------------------------------------------------------------------------------------------
count: 24
2026-05-15T02:59:00+00:00 | sec=240 | BUY    | Down       | price=0.48       | size=50.0       | usd=24.0      
2026-05-15T02:59:00+00:00 | sec=240 | BUY    | Up         | price=0.6        | size=50.0       | usd=30.0      
2026-05-15T02:59:00+00:00 | sec=240 | BUY    | Down       | price=0.47000000704510286 | size=32.646791  | usd=15.343992 
2026-05-15T02:59:05+00:00 | sec=245 | BUY    | Down       | price=0.49000002374494295 | size=9.686273   | usd=4.746274  
2026-05-15T02:59:05+00:00 | sec=245 | BUY    | Down       | price=0.4900000017000006 | size=5.882351   | usd=2.882352  
2026-05-15T02:59:05+00:00 | sec=245 | BUY    | Down       | price=0.49       | size=7.02       | usd=3.4398    
2026-05-15T02:59:05+00:00 | sec=245 | BUY    | Down       | price=0.4900000204000033 | size=9.80392    | usd=4.803921  
2026-05-15T02:59:07+00:00 | sec=247 | BUY    | Down       | price=0.5100000163000558 | size=14.723876  | usd=7.509177  
