2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.56       | size=4.75       | usd=2.66      
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.5        | size=9.82       | usd=4.91      
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.560000083845841 | size=5.247726   | usd=2.938727  
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.57       | size=30.0       | usd=17.1      
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.51       | size=15.0       | usd=7.65      
2026-05-15T01:40:43+00:00 | sec=43  | BUY    | Up         | price=0.57       | size=2.89       | usd=1.6473    
2026-05-15T01:40:45+00:00 | sec=45  | BUY    | Up         | price=0.49       | size=5.0        | usd=2.45      
2026-05-15T01:40:45+00:00 | sec=45  | BUY    | Up         | price=0.49       | size=7.97       | usd=3.9053    
2026-05-15T01:40:45+00:00 | sec=45  | BUY    | Up         | price=0.49       | size=20.0       | usd=9.8       
2026-05-15T01:40:50+00:00 | sec=50  | BUY    | Up         | price=0.45       | size=50.0       | usd=22.5      
2026-05-15T01:40:50+00:00 | sec=50  | BUY    | Down       | price=0.5200001728001106 | size=2.083332   | usd=1.083333  
2026-05-15T01:40:52+00:00 | sec=52  | BUY    | Up         | price=0.46       | size=20.0       | usd=9.2       
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.4600000216000099 | size=3.703702   | usd=1.703703  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46000002267717033 | size=7.055554   | usd=3.245555  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:54+00:00 | sec=54  | BUY    | Up         | price=0.46       | size=1.85185    | usd=0.851851  
2026-05-15T01:40:57+00:00 | sec=57  | BUY    | Down       | price=0.54       | size=36.62      | usd=19.7748   

LAST MINUTE TRADES (240-299s)
----------------------------------------------------------------------------------------------------
count: 15
2026-05-15T01:44:01+00:00 | sec=241 | BUY    | Up         | price=0.47       | size=1.88       | usd=0.8836    
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.4200000041428576 | size=14.482757  | usd=6.082758  
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.42       | size=5.0        | usd=2.1       
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.42       | size=10.0       | usd=4.2       
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.42       | size=8.28       | usd=3.4776    
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.26       | size=15.0       | usd=3.9       
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.4200000366959684 | size=9.810342   | usd=4.120344  
2026-05-15T01:44:08+00:00 | sec=248 | BUY    | Up         | price=0.42       | size=2.41       | usd=1.0122    
2026-05-15T01:44:10+00:00 | sec=250 | BUY    | Up         | price=0.32       | size=20.0       | usd=6.4       
2026-05-15T01:44:10+00:00 | sec=250 | BUY    | Up         | price=0.32       | size=4.0        | usd=1.28      
2026-05-15T01:44:10+00:00 | sec=250 | BUY    | Up         | price=0.3200000174732348 | size=13.735293  | usd=4.395294  
2026-05-15T01:44:10+00:00 | sec=250 | BUY    | Up         | price=0.32000002417778406 | size=9.926468   | usd=3.17647   
2026-05-15T01:44:10+00:00 | sec=250 | BUY    | Up         | price=0.3200000172152003 | size=2.323528   | usd=0.743529  
2026-05-15T01:44:27+00:00 | sec=267 | BUY    | Up         | price=0.36       | size=2.4        | usd=0.864     
2026-05-15T01:44:27+00:00 | sec=267 | BUY    | Up         | price=0.36       | size=47.6       | usd=17.136    

ALL EVENTS (FULL, NO TRUNCATION)
----------------------------------------------------------------------------------------------------
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Down       | price=0.33       | size=0.54       | usd=0.1782     | ext_id=raw:39817ed9dc50df3bf1d2f470668bc2441f0946ef
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Down       | price=0.33       | size=49.46      | usd=16.3218    | ext_id=raw:51c6fdd387c705fd053ccfe0b2a3220caff531f8
2026-05-15T01:40:10+00:00 | sec=10  | BUY    | Up         | price=0.5        | size=50.0       | usd=25.0       | ext_id=raw:6dbb5dc9bb2924713940c3c0402926e1cbf25ada
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.5600000101279149 | size=27.646362  | usd=15.481963  | ext_id=raw:0ef3513d3a5d72d742dbb87e62d66ddd7394b98c
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.56       | size=22.35      | usd=12.516     | ext_id=raw:3076fa3c4d4ca53e9418c070e6147c1fd9bc917e
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0       | ext_id=raw:9a1ac18f0571dbe794ea60b6e3250adb1009e68c
2026-05-15T01:40:13+00:00 | sec=13  | BUY    | Up         | price=0.56       | size=50.0       | usd=28.0       | ext_id=raw:a70e445a29947a0dffb989a6cc70869d398cc41b
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200040466716126 | size=0.074135   | usd=0.031137   | ext_id=raw:426bc36cfaf3e07426440396d1029ae26c0b29f0
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137   | ext_id=raw:4dcab131fc13670a0d818f5cf2263f166c36fe8e
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.42       | size=10.63      | usd=4.4646     | ext_id=raw:9cf568ede0f91515be724da8fcdbd7123fdf22b3
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.42000017492085984 | size=2.172411   | usd=0.912413   | ext_id=raw:f7e092253e5dc0ec7b2579247a978c0acf8b1ea1
2026-05-15T01:40:17+00:00 | sec=17  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137   | ext_id=raw:f992c2256a83763190c9951ffdb594b1d8fd0f6d
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.3800000136400011 | size=16.129031  | usd=6.129032   | ext_id=raw:096b4979524fa2430eb984e4250c0e64a2163822
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.3900000549000088 | size=6.557376   | usd=2.557377   | ext_id=raw:0ceee05371af8830b4273fd323f8925a33ade760
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38       | size=6.45       | usd=2.451      | ext_id=raw:0e771bab92eff2f53a907d8ed7d838e100da561f
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.4200000123202622 | size=21.103447  | usd=8.863448   | ext_id=raw:61d5c8a72430165ed2ac82e5fc1adcd623f414fe
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39       | size=20.32      | usd=7.9248     | ext_id=raw:6a5aa96bc37c1e290988bfd1d9449b62f075041e
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38000007026670557 | size=4.838707   | usd=1.838709   | ext_id=raw:6d46dd2ad58777e57bc58132fff80e79952703c4
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38000014880011307 | size=1.612902   | usd=0.612903   | ext_id=raw:757377e4bf9ef238b1e44aa4056423862dae09b7
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39000002352857727 | size=11.475407  | usd=4.475409   | ext_id=raw:79e673650dd298dc73714a3b63a544200b0b0ea3
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39000014030010804 | size=1.639343   | usd=0.639344   | ext_id=raw:8ba20052810a59f9464dec4172f7005d418139ba
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38       | size=5.92       | usd=2.2496     | ext_id=raw:8e095571cc7846bb7a008864a3246ada36e5e6cd
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38       | size=5.0        | usd=1.9        | ext_id=raw:8f21d5f0acba64ef02fb7f1b8280afd4764eb366
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39       | size=5.0        | usd=1.95       | ext_id=raw:9d16953720f5bad666671c1f23f5c76166cc0426
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.4200000341950171 | size=7.603447   | usd=3.193448   | ext_id=raw:a0e781fa57e26729a633d6b70752b4bae9937304
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.4200001740002958 | size=1.724135   | usd=0.724137   | ext_id=raw:bc0cf46e126af15c2d9a258d040cdf56026dd9c6
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.39       | size=5.0        | usd=1.95       | ext_id=raw:e83a00a09a69053b605f09ee8d17260e1ca3f5a2
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.38       | size=5.0        | usd=1.9        | ext_id=raw:eb4ec4b3468442eb94e5347e75e0ba06a1067497
2026-05-15T01:40:19+00:00 | sec=19  | BUY    | Down       | price=0.3800001469415944 | size=1.088868   | usd=0.41377    | ext_id=raw:ec642c3a6b08542d3112fd1d516960e95c774d5e
2026-05-15T01:40:20+00:00 | sec=20  | BUY    | Down       | price=0.38000003100001395 | size=3.225805   | usd=1.225806   | ext_id=raw:8ac0ae91f5b4dfdab9589605fcdbdbc55fdbea30
2026-05-15T01:40:22+00:00 | sec=22  | BUY    | Down       | price=0.33       | size=10.0       | usd=3.3        | ext_id=raw:377c68ef75bcee298173d476e7d933681c32d92f
2026-05-15T01:40:22+00:00 | sec=22  | BUY    | Down       | price=0.33       | size=3.0        | usd=0.99       | ext_id=raw:962f986595cf19514febeccf891d5dad612b64db
2026-05-15T01:40:22+00:00 | sec=22  | BUY    | Down       | price=0.33       | size=29.91      | usd=9.8703     | ext_id=raw:b3b36501adb4cd87530d85749754fabb24ff0b1d
2026-05-15T01:40:22+00:00 | sec=22  | BUY    | Down       | price=0.33       | size=5.0        | usd=1.65       | ext_id=raw:daba29e4be00ccf5087895fd7bb71261fa780e0b
2026-05-15T01:40:22+00:00 | sec=22  | BUY    | Down       | price=0.33       | size=2.09       | usd=0.6897     | ext_id=raw:fd25c0e606833f84423c0337f495b191d537ad24
2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.32       | size=2.98       | usd=0.9536     | ext_id=raw:232c07383ff7df43bf712f9dc70b11b513021b15
2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.3200001088000914 | size=1.470587   | usd=0.470588   | ext_id=raw:ac25a4b28655cc85d4e442adfc8bd4ee4171a304
2026-05-15T01:40:24+00:00 | sec=24  | BUY    | Down       | price=0.32       | size=5.0        | usd=1.6        | ext_id=raw:e70191f1de3c0cc98c8a552078c0e5b03a357e02
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=6.45       | usd=3.6765     | ext_id=raw:07e7561b99290fad531dae30afff1e5225f7d7f8
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Down       | price=0.3200000359471505 | size=6.676468   | usd=2.13647    | ext_id=raw:134bdc66a65f31313c52fb8b66be44d8860e4d8d
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=2.09       | usd=1.1913     | ext_id=raw:33e0673204080b0086e8050d602f844e5cf6b939
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.63       | size=50.0       | usd=31.5       | ext_id=raw:363bd779b2ed395b65ad7da8c1de416972273a10
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=17.13      | usd=9.7641     | ext_id=raw:3e22d52dc0bac4796f3e0785fa462d764d52f5ea
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=5.0        | usd=2.85       | ext_id=raw:4c3d9344f8b52f199e9f9bedee7a7a38aa722320
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.5700001720001032 | size=2.32558    | usd=1.325581   | ext_id=raw:bca0bb2260de8972489eafc876f5d83a5e51a7d2
2026-05-15T01:40:26+00:00 | sec=26  | BUY    | Up         | price=0.57       | size=17.0       | usd=9.69       | ext_id=raw:c36b1a74a9b6e9ae1731d8e651e2644f87d3613b
