2026-05-15T04:15:20+00:00 | sec=20  | BUY    | Down       | price=0.5300000153469445 | size=5.212764   | usd=2.762765   | ext_id=raw:e198e1f9953ea8cbeeb5a575fbd6b8e195123d52
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500001431819028 | size=2.444443   | usd=1.344444   | ext_id=raw:af288d4219af4f6a3007ac2ab39d53e0ba2dc497
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500000450000045 | size=11.11111   | usd=6.111111   | ext_id=raw:c4bac254dc77719ab907711b4cb5543196ab63c8
2026-05-15T04:15:23+00:00 | sec=23  | BUY    | Down       | price=0.5500000314282439 | size=9.545554   | usd=5.250055   | ext_id=raw:f9f854b8b26b177ac031679e915699a0bcfec9fd
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.42       | size=50.0       | usd=21.0       | ext_id=raw:0f2d6d6128d28bf9ebce9395fb83e318ed3838e5
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.44       | size=50.0       | usd=22.0       | ext_id=raw:29de4e5f6a7a509210545e8b0c34548bd2ae5786
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5       | ext_id=raw:843be8c345d67068638aff0ed4a9ee3cfa78a7dc
2026-05-15T04:15:27+00:00 | sec=27  | BUY    | Down       | price=0.43       | size=50.0       | usd=21.5       | ext_id=raw:ddc31713c522af044ebfc67b69d872deb90c2850
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.3        | size=50.0       | usd=15.0       | ext_id=raw:7e40db45c1c62e877a3c254703f7a786de254079
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.29       | size=50.0       | usd=14.5       | ext_id=raw:94ce8b4d996ca2d702370b1279c4cc7fa797e8d7
2026-05-15T04:15:29+00:00 | sec=29  | BUY    | Down       | price=0.31       | size=50.0       | usd=15.5       | ext_id=raw:a4f38a18ef698bbde38e5a351042572cc2bcd926
2026-05-15T04:15:34+00:00 | sec=34  | BUY    | Down       | price=0.32       | size=10.0       | usd=3.2        | ext_id=raw:06e906289d3ed61f85f5d57ca17b5ad64b080b1e
