2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=2.7        | usd=0.81       | ext_id=raw:3a707819d28c596d7203ec0fc08627f9385a7e70
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.42857    | usd=0.428571   | ext_id=raw:519432cfcfc94e8358f48c9fa3867a99703b6fb8
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.32       | size=50.0       | usd=16.0       | ext_id=raw:54daae0f3c792f054bc6249b0cf8bb58dcda6534
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5        | ext_id=raw:82f065d5e0036da101c88243d8e2d1c59e225bc8
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=20.0       | usd=6.2        | ext_id=raw:8b384389a2fe21e2957e9d2d17ad7a30890f1d10
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.45714    | usd=0.437142   | ext_id=raw:9cdf5b2f347341c7d2a42f0f2608f4ca49fa7acd
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=13.69      | usd=4.107      | ext_id=raw:a6c8da6b0afac0117d595a91bd2ec8ddefa10130
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5        | ext_id=raw:b16179247f0b0f365d53438caa1a8fc21b733d93
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.29000002982001066 | size=7.042251   | usd=2.042253   | ext_id=raw:bc7c54e1701377fb9f499acd181f8e8f3cdd8e4a
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=5.0        | usd=1.5        | ext_id=raw:c07287a238ada361a5c631e14dbb4adb413715be
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.29       | size=20.0       | usd=5.8        | ext_id=raw:c87076222c8bd0fe40849813370f532ffcdbdd5a
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.290000402105501 | size=0.522251   | usd=0.151453   | ext_id=raw:d0828b33a8335b1e870d36d95f3868ee5f37903f
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.30000002333334036 | size=4.285713   | usd=1.285714   | ext_id=raw:db7195666ca8830517f3ec08678ab65f605354ce
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.3        | size=1.42857    | usd=0.428571   | ext_id=raw:dd23083018ddfd261a57e7453a5e5b741f392359
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=10.05      | usd=3.1155     | ext_id=raw:e1685f6dff3abaf6b3ae06271ef30d15dc215e69
2026-05-14T21:25:27+00:00 | sec=27  | BUY    | Down       | price=0.31       | size=19.95      | usd=6.1845     | ext_id=raw:e96830b1a0c1696e2f911d5e5abf8503f2f06f2f
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Down       | price=0.29000005680010904 | size=1.408448   | usd=0.40845    | ext_id=raw:0fccdc275795e73eee3aa6c4bf83e69d444de44c
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Up         | price=0.62       | size=5.89       | usd=3.6518     | ext_id=raw:34b5f1cd741adbd24eeffc6ea3b9589085e3fc04
2026-05-14T21:25:29+00:00 | sec=29  | BUY    | Up         | price=0.62       | size=44.11      | usd=27.3482    | ext_id=raw:af60ba3671f6f6cb8a13ea423a455f240a236055
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.520000025028971 | size=14.383332  | usd=7.479333   | ext_id=raw:19928b789a86961cdb91fb214188a076489c2afd
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.5300000088772305 | size=20.276594  | usd=10.746595  | ext_id=raw:5e0a25fab061f4f36f6099338063e447c86edcfa
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=5.0        | usd=2.7        | ext_id=raw:656b1fa3bce3bd9f51963621cbe1b7eeb5eb4641
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.53       | size=20.0       | usd=10.6       | ext_id=raw:6d2be6d64531439539ec242a0a18d333953ae364
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=5.0        | usd=2.7        | ext_id=raw:7c61ebafc3fa1bd74e1a4ef2ab8941931e54da61
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.52       | size=2.5        | usd=1.3        | ext_id=raw:9890ff18c4295fad231563d29e7fcb58c53a568b
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.54       | size=40.0       | usd=21.6       | ext_id=raw:e59082581881155b8617229ab442119fc41e5999
2026-05-14T21:25:31+00:00 | sec=31  | BUY    | Up         | price=0.53       | size=9.72       | usd=5.1516     | ext_id=raw:f783e167bb4af08368743ee7a933ce443c19dda5
2026-05-14T21:25:32+00:00 | sec=32  | BUY    | Up         | price=0.52       | size=9.0        | usd=4.68       | ext_id=raw:bb8c99f325517f58ac1dc8076bf534b9e033631f
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.52       | size=24.11      | usd=12.5372    | ext_id=raw:301abd94db1c1b766e201af87b492c1a1025d9f9
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.51       | size=9.37       | usd=4.7787     | ext_id=raw:abd23408fc884a617ac40080abd8399ebab39645
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.5100000168965584 | size=4.734692   | usd=2.414693   | ext_id=raw:b3a5d0ff2ed9fc6c57690a22eefe193ee1368220
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.54       | size=50.0       | usd=27.0       | ext_id=raw:d47c9dfa0fc137f7b6988264f2819a0fd44e3817
2026-05-14T21:25:34+00:00 | sec=34  | BUY    | Up         | price=0.51       | size=35.89      | usd=18.3039    | ext_id=raw:fe288586c65873e7810f5935b18719b620a32548
2026-05-14T21:25:36+00:00 | sec=36  | BUY    | Down       | price=0.45       | size=33.95      | usd=15.2775    | ext_id=raw:d6ed1944e6863e6aea3fb81da3c29ad3d8639b6c
2026-05-14T21:25:36+00:00 | sec=36  | BUY    | Down       | price=0.45       | size=16.05      | usd=7.2225     | ext_id=raw:f8647e2cc50e3582f8847e424f082d03418a5a94
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Down       | price=0.42       | size=7.57       | usd=3.1794     | ext_id=raw:5cb1ba52f7e07354b14bb37a0edc0df05999e193
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Up         | price=0.54       | size=50.0       | usd=27.0       | ext_id=raw:e1e91999a97197090c48d79ad5db43d50e317a71
2026-05-14T21:25:45+00:00 | sec=45  | BUY    | Down       | price=0.4200000355964757 | size=8.989654   | usd=3.775655   | ext_id=raw:e7a37ada6fadca271c4899769f2390a4d448fab0
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.4        | size=50.0       | usd=20.0       | ext_id=raw:7a7425ef853cbbcd36c9034903c7a5713f235820
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.41       | size=50.0       | usd=20.5       | ext_id=raw:97c8fe4e597015b79f949a0ab07ab77b08dec2a3
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.39       | size=50.0       | usd=19.5       | ext_id=raw:af9d97e18b515fffb011244d6c13e1533976e626
2026-05-14T21:25:46+00:00 | sec=46  | BUY    | Down       | price=0.42       | size=33.44      | usd=14.0448    | ext_id=raw:ff8ec5bb449e280b042ae52ba3b3a0ef0088b9d9
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=5.0        | usd=2.45       | ext_id=raw:0fed95fb799421c764eec98c1dd88ea82f921951
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=25.0       | usd=12.25      | ext_id=raw:9b31361b28ef241dc204956efcb94fdf0f66a3f6
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.49       | size=20.0       | usd=9.8        | ext_id=raw:9e068bfcfd9ed4c1c5ea8ba5a0a17995914bba5f
2026-05-14T21:25:52+00:00 | sec=52  | BUY    | Up         | price=0.48       | size=50.0       | usd=24.0       | ext_id=raw:a7331544c3423b4403081475aa6744a860437491
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49000012265827597 | size=3.098038   | usd=1.518039   | ext_id=raw:3e23759d83e69cc16de70f80bad4dae10b4fc7bb
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49000014433971795 | size=2.07843    | usd=1.018431   | ext_id=raw:4fa4f2ecbb68b6a69051a0e4b92fbdc88e140078
2026-05-14T21:25:53+00:00 | sec=53  | BUY    | Up         | price=0.49       | size=1.72       | usd=0.8428     | ext_id=raw:adbb501eeb4bb57785c34f71d646cde762705bd2
2026-05-14T21:25:55+00:00 | sec=55  | BUY    | Up         | price=0.49       | size=3.0        | usd=1.47       | ext_id=raw:a51bfd9c82c76dadf497ff9bc16da4cb62de2d98
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=34.38      | usd=13.752     | ext_id=raw:3345ec4e5fbafba10cb639ce984d4f7909fad740
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=2.21       | usd=0.884      | ext_id=raw:5f18e444a9e36ac67a70c53127bcf39541194646
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.39000003795556165 | size=7.377048   | usd=2.877049   | ext_id=raw:607ddc1f2949852d9f4b88e35196f4a338c157ab
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.3900000610000346 | size=2.459015   | usd=0.959016   | ext_id=raw:793599da7f0fc7679bc5d5e1bcddcc0fa9801728
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.41       | size=50.0       | usd=20.5       | ext_id=raw:7a2d92da7d6462bd7a9168b798c24cf6f67812df
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4000000150000015 | size=13.333332  | usd=5.333333   | ext_id=raw:9e9ef37fee3e0f0d843457a6961df75359e5263f
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.4        | size=0.07       | usd=0.028      | ext_id=raw:adffccb2cdc604e2c3670416ab0e525b25784608
2026-05-14T21:25:59+00:00 | sec=59  | BUY    | Up         | price=0.39       | size=1.63       | usd=0.6357     | ext_id=raw:cf01a2cf31aa30bc4e3c0c53904db75084212495
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Down       | price=0.5800000164347855 | size=10.952379  | usd=6.35238    | ext_id=raw:2bc44176de18e4304b51965b837450c1c190bf2b
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Up         | price=0.39       | size=19.29      | usd=7.5231     | ext_id=raw:3cd45e170788274a862c648a5a521baaac4f5ce9
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Up         | price=0.3900000167582505 | size=2.983605   | usd=1.163606   | ext_id=raw:6d1b759d299e164d7fe3924d019c52ccdcf8f9bb
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Down       | price=0.58       | size=8.89       | usd=5.1562     | ext_id=raw:6e0fd2388ca8233818400d4cd3c5f001fa9dcde2
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Up         | price=0.39       | size=12.23      | usd=4.7697     | ext_id=raw:7caf20b83d899cff897e59268278873883515ed5
2026-05-14T21:26:00+00:00 | sec=60  | BUY    | Up         | price=0.39       | size=4.02       | usd=1.5678     | ext_id=raw:ce4524cd2a89d51ff947b3c68675c67a53e6ce91
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.5800001764001023 | size=2.380951   | usd=1.380952   | ext_id=raw:7362dba0b8a6298adc45c5c941a83f81da5ace67
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.58       | size=0.37       | usd=0.2146     | ext_id=raw:c634ccbb71e99d116de0edfa4a28d4291d5f64dd
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.58       | size=10.0       | usd=5.8        | ext_id=raw:ce40e98ad516be77d715d02355a238c592533232
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.5800001764001023 | size=2.380951   | usd=1.380952   | ext_id=raw:d84d18bd459fb8e9e189a71e9e336d44d0303cf7
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.58       | size=9.0        | usd=5.22       | ext_id=raw:e4d66b276ad1be0bb86508163680b0ed6adc62f5
2026-05-14T21:26:02+00:00 | sec=62  | BUY    | Down       | price=0.58       | size=6.0        | usd=3.48       | ext_id=raw:fc8487b2a5025e410cb9b77422ced7cbbdcbf309
2026-05-14T21:26:06+00:00 | sec=66  | BUY    | Down       | price=0.48       | size=0.99       | usd=0.4752     | ext_id=raw:08ed68219e14f49fa52e91befdd98141e85a3070
2026-05-14T21:26:06+00:00 | sec=66  | BUY    | Down       | price=0.4900000154545486 | size=8.411763   | usd=4.121764   | ext_id=raw:63eedba0ec1f5737ddd26749e6007752d66c9c5d
2026-05-14T21:26:06+00:00 | sec=66  | BUY    | Down       | price=0.49       | size=26.01      | usd=12.7449    | ext_id=raw:69502c5e7542fa3f182b15947f499b938af4670c
